@relation 'rad-nor-weka.filters.unsupervised.attribute.Remove-V-R250,398,334,366,335,314,399,367,252,220,435,411,436,358,356,432,340,283,438,301,342,406,374,318,390,388,422,420,414,382,350,373,405,341,372,309,317,236,157,379,404,86,223,361,263,1'

@attribute third_sg13 numeric
@attribute punct_freq_dist_words1 numeric
@attribute punct_freq_dist_puncts1 numeric
@attribute punct_freq_dist_chars1 numeric
@attribute punct_freq_dist_puncts2 numeric
@attribute char_freq_distH numeric
@attribute punct_freq_dist_words2 numeric
@attribute punct_freq_dist_chars2 numeric
@attribute third_sg15 numeric
@attribute first_sg1 numeric
@attribute funct_words numeric
@attribute punct_freq_dist_words14 numeric
@attribute det_n numeric
@attribute punct_freq_dist_puncts25 numeric
@attribute punct_freq_dist_puncts23 numeric
@attribute lower_needs numeric
@attribute punct_freq_dist_puncts7 numeric
@attribute char_freq_distc numeric
@attribute comps numeric
@attribute char_freq_distu numeric
@attribute punct_freq_dist_puncts9 numeric
@attribute punct_freq_dist_words9 numeric
@attribute punct_freq_dist_chars9 numeric
@attribute char_freq_distL numeric
@attribute punct_freq_dist_chars25 numeric
@attribute punct_freq_dist_chars23 numeric
@attribute punct_freq_dist_words25 numeric
@attribute punct_freq_dist_words23 numeric
@attribute punct_freq_dist_words17 numeric
@attribute punct_freq_dist_chars17 numeric
@attribute punct_freq_dist_puncts17 numeric
@attribute punct_freq_dist_chars8 numeric
@attribute punct_freq_dist_words8 numeric
@attribute punct_freq_dist_puncts8 numeric
@attribute punct_freq_dist_chars7 numeric
@attribute char_freq_distC numeric
@attribute char_freq_distK numeric
@attribute first_pl9 numeric
@attribute av_word_len numeric
@attribute punct_freq_dist_chars14 numeric
@attribute punct_freq_dist_words7 numeric
@attribute sent_len_dist_chars80 numeric
@attribute first_sg4 numeric
@attribute punct_freq_dist_puncts28 numeric
@attribute third_pl8 numeric
@attribute class {nor,rad}

@data
0.004285,0.000643,0.005051,0.000126,0.090909,0.040559,0.011571,0.002267,0.000857,0.087851,40.087436,0.038997,8.51711,0.001684,0.001684,0.006687,0.003367,0.001134,0.570342,0.000966,0.047138,0.006,0.001176,0.03867,0.000042,0.000042,0.000214,0.000214,0.001928,0.000378,0.015152,0.001176,0.006,0.047138,0.000084,0.035479,0.004031,0,5.103278,0.007642,0.000429,0.005525,0,0,0,nor
0.003107,0,0,0,0,0.05934,0,0,0.003107,0.112994,46.027328,0.036723,10.172065,0,0,0.003644,0.106796,0.00239,0.404858,0,0.004854,0.000565,0.00012,0.035556,0,0,0,0,0.001412,0.000299,0.012136,0.00012,0.000565,0.004854,0.002629,0.026593,0.004362,0,4.727119,0.007769,0.012429,0.007299,0,0,0,nor
0.002012,0.002012,0.014286,0.000423,0.114286,0.033841,0.016097,0.003384,0.002012,0.060362,41.975309,0.060362,6.17284,0,0,0.000922,0,0.000423,1.058201,0,0,0,0,0.045685,0,0,0,0,0,0,0,0,0,0,0,0.038071,0.010998,0,4.756539,0.01269,0,0.032258,0,0,0,nor
0.002262,0,0,0,0.191781,0.058885,0.031674,0.007361,0,0.126697,42.330097,0.067873,6.601942,0,0,0.000738,0,0.001052,0.776699,0.000526,0,0,0,0.036803,0,0,0,0,0,0,0,0,0,0,0,0.028917,0.011567,0,4.303167,0.015773,0,0,0,0,0,nor
0.002237,0,0,0,0.08,0.045701,0.008949,0.00181,0.004474,0.10962,40.442656,0.049217,9.657948,0,0,0.001153,0,0.002262,0.402414,0.001357,0,0,0,0.039367,0,0,0,0,0,0,0,0,0,0,0,0.035747,0.002715,0.004474,4.944072,0.009955,0,0,0,0,0,nor
0.004223,0,0,0,0.186275,0.039147,0.032095,0.006384,0,0.08277,37.824207,0.047297,8.573487,0,0,0.001799,0,0.001008,0.576369,0.000672,0.019608,0.003378,0.000672,0.062164,0,0,0,0,0,0,0,0.000672,0.003378,0.019608,0,0.042339,0.013609,0,5.027027,0.009409,0,0.020833,0,0,0,nor
0.001212,0.001212,0.009434,0.000263,0.056604,0.042391,0.007273,0.00158,0.002424,0.070303,40.923738,0.055758,7.303974,0,0,0.001845,0,0.002106,0.322234,0,0,0,0,0.031596,0,0,0,0,0.004848,0.001053,0.037736,0,0,0,0,0.036335,0.010795,0.001212,4.603636,0.012112,0,0.020408,0,0,0,nor
0.021922,0.026981,0.142857,0.006297,0.205357,0.05549,0.038786,0.009052,0.013491,0.141653,40.851064,0.059022,6.099291,0,0,0.001245,0,0.000394,0.425532,0,0.008929,0.001686,0.000394,0.042503,0,0,0,0,0,0,0,0.000394,0.001686,0.008929,0,0.013774,0.011413,0,4.284992,0.013774,0,0,0,0,0.001686,nor
0,0.005181,0.044776,0.001191,0,0.074662,0,0,0.001727,0.079447,37.925697,0.063903,5.572755,0,0,0.001845,0,0.000397,0,0,0,0,0,0.051628,0,0,0,0,0,0,0,0.000397,0.001727,0.014925,0,0.007149,0.008737,0,4.348877,0.014694,0,0,0,0,0,nor
0,0,0,0,0.098361,0.059331,0.014706,0.003236,0,0.147059,37.100213,0.061275,7.249467,0,0,0.000692,0,0.003776,0,0,0,0,0,0.037756,0,0,0,0,0,0,0,0,0,0,0,0.03452,0.003776,0,4.544118,0.013484,0,0,0,0,0,nor
0.002618,0.001309,0.010204,0.000272,0.027211,0.048343,0.00349,0.000724,0.004799,0.116492,39.133797,0.067627,9.62877,0,0,0.004105,0.013605,0.001267,0,0.000996,0.030612,0.003927,0.000815,0.045175,0,0,0,0,0,0,0,0.000815,0.003927,0.030612,0.000362,0.029332,0.005975,0,4.819372,0.014032,0.001745,0,0,0,0,nor
0.009105,0,0,0,0.271845,0.051683,0.042489,0.008269,0.001517,0.121396,35.695538,0.036419,7.086614,0,0,0.000969,0.019417,0.000295,0.262467,0.001181,0.009709,0.001517,0.000295,0.033963,0,0,0,0,0,0,0,0.000295,0.001517,0.009709,0.000591,0.023331,0.005316,0,5.138088,0.007088,0.003035,0,0,0,0,nor
0.004224,0,0,0,0.147287,0.042799,0.020063,0.004303,0.002112,0.081309,39.684015,0.046463,8.457249,0,0,0.001706,0,0.002264,0.27881,0.000679,0.031008,0.004224,0.000906,0.046875,0,0,0,0,0.002112,0.000453,0.015504,0.001585,0.007392,0.054264,0,0.031476,0.00702,0.001056,4.663147,0.009964,0,0.021277,0,0,0.001056,nor
0.005123,0,0,0,0.173913,0.040808,0.02459,0.004848,0,0.099385,36.535009,0.036885,10.233393,0.007246,0.007246,0.001983,0.043478,0.004444,0.5386,0.00101,0.007246,0.001025,0.000202,0.038586,0.000202,0.000202,0.001025,0.001025,0.001025,0.000202,0.007246,0.000202,0.001025,0.007246,0.001212,0.029091,0.013333,0,5.071721,0.007273,0.006148,0.027027,0,0,0,nor
0.002299,0,0,0,0.266667,0.038021,0.055172,0.010994,0.002299,0.114943,31.619048,0.08046,9.142857,0.011111,0.011111,0.000738,0,0.003665,0.190476,0,0,0,0,0.040311,0.000458,0.000458,0.002299,0.002299,0,0,0,0,0,0,0,0.027485,0.004123,0,5.018391,0.016033,0,0,0,0,0,nor
0,0,0,0,0.360465,0.040072,0.071101,0.013958,0,0.103211,34.482759,0.034404,8.62069,0.034884,0.034884,0.00083,0.034884,0.004502,0.191571,0.0009,0.023256,0.004587,0.0009,0.045025,0.001351,0.001351,0.006881,0.006881,0,0,0,0.0009,0.004587,0.023256,0.001351,0.027465,0.004502,0,5.094037,0.006754,0.006881,0,0,0,0,nor
0.003384,0,0,0,0,0.037817,0,0,0.001692,0.076142,40.214067,0.040609,8.256881,0,0,0.000646,0.190476,0.00107,0.764526,0.000357,0,0,0,0.031038,0,0,0,0,0,0,0,0,0,0,0.004281,0.044595,0.008205,0.003384,4.742809,0.008562,0.020305,0.041667,0,0,0,nor
0,0,0,0,0.075472,0.074146,0.009724,0.002124,0.002431,0.158833,47.020818,0.056726,11.270639,0,0,0.001476,0.044025,0.001062,0.215363,0,0.025157,0.003241,0.000708,0.035923,0,0,0,0,0,0,0,0.000708,0.003241,0.025157,0.001239,0.018404,0.003716,0,4.579417,0.012387,0.005673,0,0,0,0,nor
0.014134,0,0,0,0.090909,0.069866,0.015901,0.003455,0.007067,0.169611,43.759398,0.047703,9.774436,0,0,0.000784,0,0.001536,0.451128,0.000768,0.050505,0.008834,0.001919,0.042994,0,0,0,0,0.001767,0.000384,0.010101,0.001919,0.008834,0.050505,0,0.022265,0.001536,0,4.602473,0.010365,0,0,0,0,0,nor
