@relation 'rad-nor-weka.filters.unsupervised.attribute.Remove-V-R86,236,250,252,263,283,301,314,317-318,334-335,340,342,350,356,361,366-367,379,411,432,435-436,438,1'

@attribute sent_len_dist_chars80 numeric
@attribute first_pl9 numeric
@attribute third_sg13 numeric
@attribute third_sg15 numeric
@attribute third_pl8 numeric
@attribute char_freq_distc numeric
@attribute char_freq_distu numeric
@attribute char_freq_distH numeric
@attribute char_freq_distK numeric
@attribute char_freq_distL numeric
@attribute punct_freq_dist_puncts1 numeric
@attribute punct_freq_dist_puncts2 numeric
@attribute punct_freq_dist_puncts7 numeric
@attribute punct_freq_dist_puncts9 numeric
@attribute punct_freq_dist_puncts17 numeric
@attribute punct_freq_dist_puncts23 numeric
@attribute punct_freq_dist_puncts28 numeric
@attribute punct_freq_dist_chars1 numeric
@attribute punct_freq_dist_chars2 numeric
@attribute punct_freq_dist_chars14 numeric
@attribute punct_freq_dist_words14 numeric
@attribute lower_needs numeric
@attribute funct_words numeric
@attribute det_n numeric
@attribute comps numeric
@attribute class {nor,rad}

@data
0.021277,0.001067,0.001067,0,0,0.001694,0.000212,0.042143,0.004024,0.033037,0,0.211921,0.02649,0.006623,0,0,0,0,0.006777,0.010801,0.054429,0.002491,36.029412,9.099265,0.367647,nor
0,0.002959,0,0,0,0.001837,0.000612,0.045315,0.006736,0.039192,0,0.052632,0.026316,0.026316,0,0,0,0,0.001225,0.009186,0.044379,0.000231,32.712766,10.638298,0.531915,nor
0.03125,0,0.003344,0.003344,0,0.002659,0.000665,0.048521,0.009638,0.036889,0,0.283186,0,0,0,0,0,0,0.010635,0.011632,0.058528,0.000369,33.333333,7.735584,1.125176,nor
0,0,0,0,0,0.001904,0.000635,0.049492,0.014594,0.031726,0.061224,0.44898,0,0,0,0,0,0.001904,0.013959,0.009518,0.047619,0.000461,35.714286,9.340659,0.824176,nor
0,0,0.002755,0,0.002755,0.002363,0.002363,0.054341,0.009451,0.032487,0.019608,0.196078,0.078431,0,0,0,0,0.000591,0.005907,0.007088,0.033058,0.000692,40.821256,9.42029,0.483092,nor
0,0,0.006993,0.005245,0,0.000681,0.001702,0.040518,0.011576,0.027239,0.019608,0.039216,0.019608,0,0,0,0,0.00034,0.000681,0.005788,0.02972,0.001015,37.720706,8.025682,0.642055,nor
0,0.000955,0,0,0,0.002517,0.00021,0.057059,0.00923,0.035452,0,0.21393,0.0199,0,0.014925,0,0,0,0.00902,0.015523,0.070678,0.001384,39.503205,10.897436,0.240385,nor
0,0,0.003755,0.003755,0,0.000754,0.001005,0.042724,0.006032,0.03041,0,0.162963,0,0,0.007407,0,0,0,0.005529,0.00955,0.047559,0.00143,36.509636,9.110397,0,nor
0,0.000806,0,0,0,0.0019,0.001425,0.034363,0.004117,0.043389,0,0.154696,0.005525,0,0,0,0,0,0.004434,0.009501,0.048348,0.002998,35.724332,8.087201,1.054852,nor
0,0,0.002301,0.001151,0,0.000724,0.001207,0.04056,0.007001,0.050942,0,0.106195,0.026549,0.00885,0,0,0,0,0.002897,0.008933,0.042578,0.000784,42.87169,7.543323,0.815494,nor
0,0,0,0.00134,0,0,0.000546,0.037653,0.00764,0.032742,0,0.055556,0,0,0,0,0,0,0.001637,0.013643,0.067024,0.000922,34.42623,6.674473,0.234192,nor
0.004926,0.000665,0.001331,0.000998,0.000554,0.002906,0.000623,0.050021,0.006411,0.034362,0,0.18209,0.004478,0.000746,0.008209,0,0,0,0.005627,0.011623,0.055882,0.011438,38.517231,9.268198,0.434447,nor
0,0,0.00641,0.002564,0,0.002899,0.000527,0.045059,0.005797,0.041107,0,0.057143,0,0.009524,0.009524,0,0,0,0.001581,0.013966,0.067949,0.002122,40.564972,6.108597,0.452489,nor
0,0.000857,0.003428,0.002571,0,0.001145,0.000982,0.040079,0.008016,0.048421,0,0.040541,0,0.087838,0,0,0,0,0.000982,0.009161,0.047986,0.003044,34.904943,6.920152,1.673004,nor
0,0,0,0.001346,0,0.00256,0.003071,0.034041,0.004863,0.037369,0,0.254545,0.018182,0,0,0,0,0,0.007167,0.010238,0.053836,0.001568,32.590856,7.268464,0.3517,nor
0.005814,0.001072,0.003485,0.001609,0.000268,0.000854,0.00032,0.04502,0.005394,0.039359,0,0.170874,0.001942,0.001942,0.01165,0.003883,0,0,0.0047,0.008972,0.04504,0.006226,36.489988,8.904594,0.800942,nor
0,0,0.005593,0.003356,0,0.000778,0,0.050817,0.010371,0.044854,0,0.066667,0.008333,0.025,0,0,0,0,0.002074,0.011667,0.050336,0.001891,42.60355,8.086785,0.493097,nor
0,0.001355,0.001355,0.001355,0,0.000825,0,0.048418,0.007153,0.041816,0,0.141176,0.023529,0.011765,0,0,0,0,0.003301,0.007703,0.03794,0.001153,42.284326,7.168894,0.850547,nor
0.017241,0.002176,0.002176,0.003264,0,0,0.000848,0.065328,0.010747,0.032523,0.026316,0.087719,0.035088,0,0,0,0,0.000848,0.002828,0.014423,0.055495,0.002721,41.335915,7.454017,0.290416,nor
0.013699,0.002299,0.002299,0.001533,0,0.00143,0.000318,0.04466,0.008423,0.034011,0,0.190476,0.019048,0.014286,0,0.004762,0,0,0.006357,0.011761,0.056705,0.002075,36.435644,7.260726,0.528053,nor
0,0.001359,0.002717,0,0,0.002358,0.001834,0.04586,0.006551,0.038784,0,0.021053,0,0,0.105263,0,0,0,0.000524,0.009958,0.05163,0.000922,34.536703,8.303249,0.120337,nor
0,0,0.005848,0,0,0.00373,0.001658,0.049731,0.010361,0.042271,0,0.188235,0,0.023529,0.047059,0,0,0,0.006631,0.014919,0.070175,0.000553,36.789298,9.531773,0.167224,nor
0,0.001325,0.002649,0,0,0.005676,0,0.043514,0.006757,0.042703,0,0.183673,0.020408,0,0.020408,0,0,0,0.004865,0.010541,0.051656,0.00083,36.225088,9.61313,0.117233,nor
0,0,0,0.005068,0,0.002066,0.00551,0.040634,0.005854,0.046488,0,0.181818,0.022727,0.011364,0,0.011364,0,0,0.00551,0.010331,0.050676,0.001614,40.882353,9.264706,0.588235,nor
0,0,0.002844,0.000569,0,0.00241,0.001147,0.041079,0.005737,0.032817,0,0.257576,0,0,0.007576,0,0,0,0.007803,0.009409,0.046644,0.003644,37.68546,7.51731,0.593472,nor
0,0.000734,0.002935,0.002201,0,0.001962,0.000302,0.045729,0.00981,0.040598,0,0.157635,0.059113,0,0,0,0,0,0.004829,0.010866,0.052825,0.002168,39.144317,6.832695,0.510856,nor
0.02381,0.001031,0.004124,0.002577,0.001031,0.001499,0.003998,0.041383,0.006997,0.039584,0,0.171233,0.030822,0,0.037671,0,0,0,0.004998,0.008896,0.045876,0.002675,33.646953,6.765233,0.985663,nor
0,0,0.00726,0.001815,0,0.00196,0.000178,0.04509,0.008555,0.04705,0,0.207792,0,0.006494,0.012987,0,0,0,0.005703,0.009624,0.049002,0.001522,36.305732,8.373206,0.717703,rad
0.008547,0.000436,0.001308,0.001744,0,0.001079,0.000249,0.036619,0.006394,0.056298,0.003185,0.178344,0.006369,0.022293,0.009554,0,0,0.000083,0.00465,0.009632,0.050567,0.004843,36.656442,7.096279,0.652091,rad
0,0,0.004354,0.003047,0,0.000839,0.000466,0.052641,0.008851,0.038852,0.004,0.08,0,0.004,0.004,0,0,0.000093,0.001863,0.012112,0.056596,0.004335,39.3404,6.870828,0.510404,rad
0,0,0.014347,0,0,0.001839,0.001533,0.06867,0.002759,0.053342,0.085106,0.148936,0,0.021277,0.031915,0,0,0.002452,0.004292,0.006744,0.031564,0.001107,44.37421,9.102402,0,rad
0,0,0.006545,0.002618,0,0,0,0.07397,0.009051,0.049625,0.045113,0.075188,0.180451,0.045113,0.015038,0.022556,0,0.001873,0.003121,0.006866,0.028796,0.000876,43.03233,10.033445,0.111483,rad
0,0,0.007692,0.006154,0,0.000121,0.000121,0.075879,0.007636,0.042303,0.030471,0.152355,0.088643,0.060942,0.019391,0.033241,0,0.001333,0.006667,0.008364,0.035385,0.003782,41.540459,10.17316,0.04329,rad
0,0.001656,0.011038,0.002208,0,0.001503,0.001734,0.057803,0.007746,0.035145,0.032432,0.037838,0,0.07027,0.010811,0.005405,0,0.000694,0.000809,0.008555,0.040839,0.003874,43.915874,9.91984,0.250501,rad
0,0,0.022928,0.007055,0,0.000391,0.002345,0.062524,0.00508,0.052364,0.029851,0.059701,0,0.059701,0.029851,0.014925,0,0.000782,0.001563,0.003908,0.017637,0.000922,41.798107,7.886435,0,rad
0,0,0.017575,0.003515,0,0.000362,0.000362,0.06336,0.006517,0.039102,0.030769,0.153846,0,0.046154,0.046154,0,0,0.000724,0.003621,0.006517,0.031634,0.000738,44.006309,13.112164,0.157978,rad
0,0,0.007131,0.001646,0,0.002102,0.001576,0.061821,0.003911,0.043491,0.020258,0.139963,0.062615,0.031308,0.022099,0.01105,0.003683,0.000642,0.004437,0.008581,0.040318,0.004474,42.062545,11.514572,0.238892,rad
0,0,0.022762,0.005311,0,0.000627,0.000941,0.058943,0.004703,0.04311,0.006803,0.027211,0.163265,0.006803,0.095238,0,0,0.000157,0.000627,0.009092,0.044006,0.002214,43.617747,9.103354,0.136893,rad
0,0,0.005976,0.005976,0,0.001487,0.001487,0.056912,0.006583,0.037588,0.014388,0.021583,0.100719,0.007194,0.021583,0,0,0.000425,0.000637,0.010406,0.048805,0.001937,42.344707,11.111111,0.349956,rad
0.017241,0,0.003363,0.004779,0,0.001243,0.000272,0.057662,0.006023,0.041926,0.00156,0.106084,0.0078,0.01248,0.018721,0,0,0.000039,0.002642,0.009015,0.041062,0.011715,45.954538,10.763116,0.333863,rad
0.009346,0,0.00344,0.00215,0,0.001802,0.000315,0.044912,0.003433,0.040536,0.001284,0.143774,0.005135,0.016688,0.033376,0,0,0.000029,0.003204,0.006436,0.032249,0.012222,44.765343,10.108303,0.541516,rad
0,0,0.001961,0,0,0.001124,0.000375,0.047583,0.003747,0.047209,0,0.068966,0,0.017241,0,0,0,0,0.001499,0.006744,0.035294,0.001015,38.732394,9.876543,0.176367,rad
0,0,0.020761,0.00692,0,0,0,0.07148,0.008578,0.03574,0,0,0.108108,0,0,0.027027,0,0,0,0.007863,0.038062,0.000231,38.650307,11.042945,0.920245,rad
0,0,0.001563,0.001563,0,0,0,0.066206,0.006258,0.048419,0,0.075,0.075,0.0125,0,0.025,0,0,0.001976,0.008893,0.042188,0.001061,34.027778,9.583333,0,rad
0,0,0.01083,0.009025,0,0.000386,0,0.05744,0.004241,0.042406,0,0.147059,0.029412,0.014706,0.029412,0.044118,0,0,0.003855,0.005783,0.027076,0.000369,37.620579,11.736334,0,rad
0,0,0.01331,0.005324,0,0.001753,0.000195,0.072444,0.004674,0.039533,0,0.025806,0.051613,0.025806,0.006452,0.03871,0,0,0.000779,0.006426,0.029281,0.000969,39.703588,10.530421,0.312012,rad
0,0,0.017065,0.008532,0,0,0,0.055497,0.006363,0.04065,0,0,0.069444,0.041667,0,0,0,0,0,0.005302,0.025597,0.000369,36.62614,10.334347,0.303951,rad
0,0,0.006008,0.011348,0,0,0.000151,0.076003,0.006964,0.042998,0.004237,0.09322,0.110169,0.059322,0.004237,0.042373,0,0.000151,0.003331,0.00651,0.028705,0.001568,39.504037,9.573241,0.05767,rad
0,0,0.009937,0.006799,0,0.000121,0,0.057153,0.005679,0.048453,0.016026,0.096154,0.012821,0.003205,0.016026,0.025641,0,0.000604,0.003625,0.011358,0.049163,0.005304,45.908273,7.508993,0.22482,rad
